Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Final Standing
5,Boston Bruins*,27.8,48,28,14,6,62,0.646,127,106,4,3,0.44,-0.02,4.85,104,83,18,122,14.75,21,163,87.12,5,2,12.2,9.8,1557,8.2,1373,0.923,6,0
12,New York Rangers*,27.4,82,45,31,6,96,0.585,214,190,4,3,0.26,-0.04,4.93,156,149,48,264,18.18,34,232,85.34,10,7,10,10.4,2719,7.9,2412,0.921,8,0
5,Tampa Bay Lightning*,26.9,82,50,24,8,108,0.659,259,206,3,5,0.57,-0.06,5.67,199,158,53,282,18.79,42,257,83.66,7,6,9.9,10.5,2428,10.7,2287,0.91,5,0
11,San Jose Sharks*,29.1,82,46,30,6,98,0.598,237,207,4,3,0.33,-0.05,5.41,169,154,62,275,22.55,46,236,80.51,6,7,8.9,11,2491,9.5,2245,0.908,9,0
16,Nashville Predators*,27.9,82,41,29,12,94,0.573,238,220,2,4,0.16,-0.04,5.59,177,168,49,259,18.92,46,241,80.91,12,6,10.2,10.7,2557,9.3,2472,0.911,4,0
5,Vegas Golden Knights*,28,82,51,24,7,109,0.665,268,225,4,3,0.52,-0.01,6.01,207,176,53,248,21.37,44,237,81.43,8,5,6.8,7.5,2686,10,2521,0.911,5,0
5,Buffalo Sabres*,26.9,82,52,24,6,110,0.671,276,234,5,5,0.5,-0.01,6.22,165,158,101,477,21.17,59,439,86.56,10,17,14,15.2,2510,11,2502,0.906,2,0
12,Mighty Ducks of Anaheim*,28.2,82,43,27,12,98,0.598,251,222,3,7,0.37,0.06,5.77,155,125,87,480,18.13,84,510,83.53,9,13,17.6,17,2585,9.7,2431,0.909,3,0
1,Buffalo Sabres*,27.2,82,53,22,7,113,0.689,298,238,10,4,0.64,-0.16,6.54,219,153,71,407,17.44,72,386,81.35,8,13,14.6,15.3,2417,12.3,2541,0.906,2,0
2,Detroit Red Wings*,32.3,82,50,19,13,113,0.689,252,191,2,8,0.72,0.05,5.4,172,117,68,401,16.96,63,408,84.56,12,11,12,12.4,2771,9.1,2020,0.905,8,0
9,Dallas Stars*,29,82,45,30,7,97,0.591,237,204,5,3,0.54,0.11,5.38,160,145,64,354,18.08,51,354,85.59,13,8,14.3,14.6,2187,10.8,2137,0.905,5,0
10,Philadelphia Flyers*,28.1,82,42,29,11,95,0.579,245,227,3,6,0.06,-0.12,5.76,148,156,84,385,21.82,65,388,83.25,13,6,17.9,17.3,2358,10.4,2609,0.913,6,0
6,Chicago Blackhawks*,25.9,82,46,24,12,104,0.634,260,209,4,7,0.6,0.01,5.72,180,139,70,363,19.28,64,330,80.61,10,6,14.1,15.2,2683,9.7,2344,0.911,6,0
11,Carolina Hurricanes*,27.9,82,45,30,7,97,0.591,236,221,3,5,0.11,-0.05,5.57,158,153,70,374,18.72,59,301,80.4,8,9,9.8,12.5,2675,8.8,2419,0.909,6,0
2,San Jose Sharks*,29.3,82,51,20,11,113,0.689,257,209,7,6,0.65,0.05,5.68,184,151,65,309,21.04,49,324,84.88,8,9,14.1,13.1,2602,9.9,2571,0.919,3,0
19,Montreal Canadiens*,27.5,82,39,33,10,88,0.537,210,218,7,5,-0.14,-0.07,5.22,149,157,57,261,21.84,53,311,82.96,3,8,11.4,11.3,2345,9,2634,0.917,5,0
5,San Jose Sharks*,27.9,82,48,25,9,105,0.64,243,208,5,5,0.44,0.02,5.5,169,145,68,290,23.45,56,273,79.49,6,7,11.3,12,2832,8.6,2368,0.912,6,0
8,Tampa Bay Lightning*,29,82,46,25,11,103,0.628,241,234,6,6,0.04,-0.05,5.79,171,169,69,336,20.54,49,302,83.77,1,16,11,11.6,2605,9.3,2354,0.901,7,0
3,New York Rangers*,26.5,82,51,24,7,109,0.665,222,182,4,5,0.46,-0.02,4.93,170,142,44,280,15.71,36,260,86.15,8,4,12.9,14.5,2338,9.5,2281,0.92,10,0
11,Phoenix Coyotes*,28.9,82,42,27,13,97,0.591,210,194,6,10,0.16,0.01,4.93,170,152,34,251,13.55,36,249,85.54,6,6,9.2,9.6,2428,8.6,2592,0.925,8,0
2,Pittsburgh Penguins*,29,48,36,12,0,72,0.75,162,119,3,0,0.91,-0.05,5.85,118,82,42,170,24.71,34,167,79.64,2,3,11.7,12.1,1438,11.3,1403,0.915,5,0
7,Los Angeles Kings*,26.5,48,27,16,5,59,0.615,131,114,2,4,0.29,-0.02,5.1,96,86,33,166,19.88,27,161,83.23,2,1,10,10.6,1431,9.2,1198,0.905,2,0
7,Chicago Blackhawks*,27.5,82,46,21,15,107,0.652,261,212,6,8,0.6,0.02,5.77,202,160,50,257,19.46,46,248,81.45,9,6,8.5,8.7,2715,9.6,2229,0.905,3,0
9,Montreal Canadiens*,28.3,82,46,28,8,100,0.61,209,201,6,3,0.08,-0.05,5,155,150,48,279,17.2,43,289,85.12,6,8,13,12.8,2330,9,2541,0.921,8,0
1,New York Rangers*,29.4,82,53,22,7,113,0.689,248,187,4,5,0.69,-0.04,5.3,200,144,39,232,16.81,37,235,84.26,9,6,8.7,8.2,2582,9.6,2418,0.923,11,0
3,Anaheim Ducks*,27,82,51,24,7,109,0.665,228,221,8,5,0.1,-0.03,5.48,182,163,37,236,15.68,52,274,81.02,9,6,10.8,9.8,2458,9.3,2367,0.907,4,0
3,St. Louis Blues*,28,82,49,24,9,107,0.652,219,197,5,4,0.28,0,5.07,164,151,51,237,21.52,41,276,85.14,4,5,10.5,9.2,2474,8.9,2439,0.919,10,0
12,Tampa Bay Lightning*,27.3,82,46,31,5,97,0.591,224,198,3,3,0.3,-0.02,5.15,173,150,44,279,15.77,41,257,84.05,7,7,9.9,10.6,2402,9.3,2366,0.916,7,0
6,Anaheim Ducks*,27.6,82,46,23,13,105,0.64,220,197,3,3,0.24,-0.04,5.09,164,147,47,251,18.73,43,281,84.7,9,7,11.4,11.2,2425,9.1,2429,0.919,8,0
12,Ottawa Senators*,28.8,82,44,28,10,98,0.598,206,210,6,4,-0.01,0.01,5.07,156,157,43,254,16.93,50,247,79.76,7,3,10.3,10.5,2463,8.4,2467,0.915,10,0
2,Winnipeg Jets*,26.8,82,52,20,10,114,0.695,273,216,4,2,0.74,0.02,5.96,200,159,64,274,23.36,50,274,81.75,9,7,8.5,8.6,2643,10.3,2613,0.917,7,0
3,Tampa Bay Lightning*,27.5,82,54,23,5,113,0.689,290,234,6,2,0.66,-0.07,6.39,215,167,66,276,23.91,64,267,76.03,9,3,9.2,9.5,2680,10.8,2683,0.913,8,0
2,Ottawa Senators*,27.3,82,52,21,9,113,0.689,312,205,2,6,1.18,-0.08,6.3,185,121,102,490,20.82,73,476,84.66,25,11,17.6,17.7,2811,11.1,2344,0.913,8,0
9,New Jersey Devils*,30,82,46,27,9,101,0.616,233,225,9,4,0.05,-0.11,5.59,152,156,78,441,17.69,63,349,81.95,3,6,11.5,14.2,2393,9.7,2403,0.906,5,0
11,San Jose Sharks*,26.5,82,44,27,11,99,0.604,265,235,1,7,0.36,0.06,6.1,164,147,91,500,18.2,77,399,80.7,10,11,12.7,14.9,2483,10.7,2180,0.892,5,0
13,Colorado Avalanche*,29.6,82,43,30,9,95,0.579,280,251,3,6,0.39,0.07,6.48,180,170,89,473,18.82,69,448,84.6,11,12,14,15.4,2464,11.4,2415,0.896,5,0
6,San Jose Sharks*,26.4,82,51,26,5,107,0.652,256,197,2,2,0.77,0.05,5.52,157,138,92,410,22.44,55,330,83.33,7,4,11.6,14.2,2346,10.9,2148,0.908,11,0
7,New Jersey Devils*,29.4,82,49,24,9,107,0.652,206,193,10,8,0.03,-0.15,4.87,137,142,65,367,17.71,40,271,85.24,4,11,10.1,12.3,2354,8.8,2332,0.917,12,0
8,Vancouver Canucks*,28,82,49,26,7,105,0.64,217,197,5,4,0.39,0.13,5.05,142,132,70,407,17.2,57,436,86.93,5,8,14.7,14.2,2405,9,2398,0.918,5,0
